Km Cycled,Km Walked,Year
1.38470497179343,7.39597372794874,2002
1.39415140461145,7.59649491078596,2003
1.48960654369412,7.78001357439137,2004
1.39636136778321,7.63178014244827,2005
1.54581560271888,7.85459562345917,2006
1.59294740109929,7.45178436040785,2007
1.63816949649256,7.51232141473915,2008
1.7942446334627,7.80412550536682,2009
1.65317635650027,7.31974074171037,2010
1.890369963814,7.53575818766972,2011
2.12192559832273,7.31789815006765,2012
1.90837479463569,7.56427706136624,2013
2.25399151323735,7.39444873064417,2014
2.08192723197235,7.5572513938132,2015
2.1024038291776,7.85479546277878,2016
2.372745444069,8.2120612657529,2017
