Mode,year,miles_person_yr,population,population_wales,wales_multiplier,population_scotland,scotland_multiplier,km_cycled_yr_ew,km_cycled_yr_gb
Bicycle,2002,38.642981606126,49679300,2922900,1.0588353700635877,5066000,1.1019740616313032,3272656413.737235,3587838618.892017
Bicycle,2003,38.72957106801,49925500,2937700,1.0588416740944007,5068500,1.1015212666873642,3296264188.6647067,3612308526.5074224
Bicycle,2004,41.1648764622561,50194600,2957400,1.058918688464496,5084300,1.1012917724217346,3522672777.0921564,3859637053.141405
Bicycle,2005,38.2927040633827,50606000,2969300,1.058674860688456,5110200,1.1009801209342767,3302984403.8911853,3618034639.7417493
Bicycle,2006,42.1053049047475,50965200,2985700,1.0585831116134146,5133100,1.1007177446571386,3657306741.960722,4005277234.337283
Bicycle,2007,43.0442083669098,51381100,3006300,1.0585098411672775,5170000,1.1006206562335177,3769110750.796497,4127397827.980144
Bicycle,2008,43.9070135498567,51815900,3025900,1.0583971329263797,5202900,1.1004112637240693,3876782845.6746354,4244577364.9603004
Bicycle,2009,47.754116756464,52196400,3038900,1.0582204903020132,5231900,1.1002348820991485,4246717874.0980883,4648967943.265701
Bicycle,2010,43.6477357472576,52642500,3050000,1.057937977869592,5262200,1.0999610580804484,3913670952.1976714,4283460767.426914
Bicycle,2011,49.4910835753792,53107200,3063800,1.057690859243191,5299900,1.0997962611472645,4475741485.375327,4898040933.459582
Bicycle,2012,55.1847451188576,53493700,3074100,1.0574665801767311,5313600,1.0993313231277702,5025904196.144566,5498003951.4229
Bicycle,2013,49.3165490288184,53865800,3082400,1.057223692955456,5327700,1.0989069131062752,4521666802.81876,4944684285.818705
Bicycle,2014,57.8021464000438,54316600,3092000,1.0569255071193706,5347600,1.0984524068148596,5342527885.932704,5840183326.455791
Bicycle,2015,52.965900746579,54786300,3099100,1.0565670614733975,5373000,1.098071963246286,4936183285.2324,5394366398.617703
Bicycle,2016,53.0445135184301,55268100,3113200,1.0563290578109252,5404700,1.097790588060744,4985860327.888373,5447430716.251398
Bicycle,2017,59.5075663059355,55619400,3125200,1.0561890275695172,5424800,1.097534313566849,5628154569.1812105,6147889368.752478
Bicycle,2018,58.1364634515707,55977200,3138600,1.0560692567688272,5438100,1.097148481881909,5533221509.237685,6042226071.290223
Bicycle,2019,54.3436837104499,56287000,3152900,1.056014710323876,5463300,1.0970614884431573,5200594831.863043,5678597145.879677
