vehicle_type,vehicle_type_simple,number_of_vehicles
Pedal cycle,Bicycle,192595
Bus or coach (17 or more pass seats),Bus,60723
Car,Car,1878462
Goods 7.5 tonnes mgw and over,HGV,47752
Goods over 3.5t. and under 7.5t,HGV,16771
Goods vehicle - unknown weight,HGV,4587
Electric motorcycle,Motorcycle,193
Motorcycle - unknown cc,Motorcycle,1632
Motorcycle 125cc and under,Motorcycle,78238
Motorcycle 50cc and under,Motorcycle,25876
Motorcycle over 125cc and up to 500cc,Motorcycle,23570
Motorcycle over 500cc,Motorcycle,72274
Agricultural vehicle,OtherOrUnknown,5470
Data missing or out of range,OtherOrUnknown,1165
Minibus (8 - 16 passenger seats),OtherOrUnknown,6019
Mobility scooter,OtherOrUnknown,1426
Other vehicle,OtherOrUnknown,19032
Ridden horse,OtherOrUnknown,1151
Tram,OtherOrUnknown,219
Taxi/Private hire car,Taxi,52273
Van / Goods 3.5 tonnes mgw or under,Van,129812
